,,Place,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,Yorba Linda,0,1,0,0,0,0,0,0,1,0,"68,889"
California,Cities,Yucca Valley,1,0,0,0,0,0,0,0,0,1,"21,806"
California,Universities and Colleges,Total,19,7,6,0,0,0,,,,,
California,Universities and Colleges,California State University:,,,,,,,,,,,
California,Universities and Colleges,Dominguez Hills,2,0,0,0,0,0,0,1,1,0,"14,731"
California,Universities and Colleges,Long Beach,1,2,0,0,0,0,1,1,1,0,"37,776"
California,Universities and Colleges,Monterey Bay,1,0,1,0,0,0,0,1,0,1,"7,274"
California,Universities and Colleges,San Bernardino,1,0,0,0,0,0,1,0,0,0,"20,767"
California,Universities and Colleges,Riverside Community College,2,0,0,0,0,0,0,0,0,2,"38,677"
California,Universities and Colleges,San Diego State University,0,1,0,0,0,0,0,0,0,1,"34,688"
California,Universities and Colleges,San Francisco State University,0,0,1,0,0,0,0,0,1,0,"29,045"
California,Universities and Colleges,State Center Community College District,3,0,0,0,0,0,0,0,0,3,"39,661"
California,Universities and Colleges,University of California:  ,,,,,,,,,,,
California,Universities and Colleges,Berkeley ,3,0,2,0,0,0,3,0,1,1,"40,154"
California,Universities and Colleges,Los Angeles ,3,1,1,0,0,0,1,0,3,1,"43,548"
California,Universities and Colleges,San Diego ,0,0,1,0,0,0,0,0,0,1,"34,979"
California,Universities and Colleges,San Francisco,0,2,0,0,0,0,0,2,0,0,"3,145"
California,Universities and Colleges,Santa Barbara,2,0,0,0,0,0,0,2,0,0,"24,346"
California,Universities and Colleges,"Medical Center, Sacramento3",0,1,0,0,0,0,0,1,0,0,
California,Universities and Colleges,Ventura County Community College District,1,0,0,0,0,0,0,0,1,0,"33,976"
California,Metropolitan Counties,Total,51,12,17,0,0,3,,,,,
California,Metropolitan Counties,Alameda,1,0,1,0,0,0,0,1,1,0,
California,Metropolitan Counties,Contra Costa,1,0,0,0,0,0,0,0,0,1,
California,Metropolitan Counties,El Dorado,2,0,0,0,0,0,0,0,1,1,
California,Metropolitan Counties,Fresno,1,0,1,0,0,0,1,0,1,0,
California,Metropolitan Counties,Kern,2,0,0,0,0,0,0,1,0,1,
California,Metropolitan Counties,Los Angeles,6,5,4,0,0,0,2,5,5,3,
California,Metropolitan Counties,Marin,0,1,0,0,0,0,1,0,0,0,
California,Metropolitan Counties,Monterey,1,0,0,0,0,0,0,1,0,0,
California,Metropolitan Counties,Riverside,1,0,0,0,0,0,0,1,0,0,
California,Metropolitan Counties,Sacramento,8,1,1,0,0,1,4,0,4,3,
California,Metropolitan Counties,San Bernardino,2,1,0,0,0,0,1,2,0,0,
California,Metropolitan Counties,San Diego,7,0,7,0,0,0,3,4,4,3,
California,Metropolitan Counties,San Luis Obispo,3,0,0,0,0,0,0,1,1,1,
California,Metropolitan Counties,San Mateo,0,1,0,0,0,0,0,0,1,0,
California,Metropolitan Counties,Santa Barbara,2,0,2,0,0,0,1,3,0,0,
California,Metropolitan Counties,Santa Clara,1,0,0,0,0,2,1,1,0,1,
California,Metropolitan Counties,Santa Cruz,1,1,0,0,0,0,0,0,2,0,
California,Metropolitan Counties,Solano,1,0,0,0,0,0,0,0,0,1,
California,Metropolitan Counties,Sonoma,4,0,1,0,0,0,2,2,1,0,
California,Metropolitan Counties,Stanislaus,1,0,0,0,0,0,0,0,1,0,
California,Metropolitan Counties,Sutter,0,1,0,0,0,0,0,0,0,1,
California,Metropolitan Counties,Ventura,2,1,0,0,0,0,0,0,2,1,
California,Metropolitan Counties,Yuba,4,0,0,0,0,0,3,1,0,0,
California,Nonmetropolitan Counties,Total,3,1,2,0,0,0,,,,,
California,Nonmetropolitan Counties,Calaveras,1,0,0,0,0,0,0,0,0,1,
California,Nonmetropolitan Counties,Lake,0,1,1,0,0,0,0,0,0,2,
California,Nonmetropolitan Counties,Mendocino,1,0,0,0,0,0,1,0,0,0,
California,Nonmetropolitan Counties,Nevada,0,0,1,0,0,0,0,1,0,0,
California,Nonmetropolitan Counties,Plumas,1,0,0,0,0,0,0,0,1,0,
California,Other Agencies,Total,6,0,6,0,0,0,,,,,
California,Other Agencies,Department of Parks and Recreation:,,,,,,,,,,,
California,Other Agencies,Marin County,1,0,0,0,0,0,0,0,1,0,
California,Other Agencies,Oceano Dunes,0,0,1,0,0,0,0,1,0,0,
California,Other Agencies,Los Angeles Transportation Services Bureau,3,0,3,0,0,0,2,3,1,0,
California,Other Agencies,Port of San Diego Harbor,0,0,1,0,0,0,0,0,0,1,
California,Other Agencies,San Francisco Bay Area Rapid Transit:  ,,,,,,,,,,,
California,Other Agencies,Alameda County,1,0,0,0,0,0,0,0,0,1,
California,Other Agencies,San Francisco County,1,0,1,0,0,0,1,0,1,0,
Colorado,Total,Total,61,26,18,1,1,1,,,,,
Colorado,Cities,Total,49,16,13,1,1,1,,,,,
Colorado,Cities,Arvada,1,0,1,0,0,0,2,0,0,0,"119,346"
Colorado,Cities,Aspen,1,0,0,0,0,0,0,1,0,0,"6,906"
Colorado,Cities,Aurora,14,3,1,0,0,0,8,7,2,1,"368,018"
Colorado,Cities,Boulder,2,1,0,0,0,0,2,1,0,0,"109,722"
Colorado,Cities,Brighton,0,0,1,0,0,0,0,0,1,0,"39,099"
Colorado,Cities,Broomfield,1,0,0,0,0,0,1,0,0,0,"68,158"
Colorado,Cities,Canon City,0,1,0,0,0,0,1,0,0,0,"16,723"
Colorado,Cities,Castle Rock,2,0,0,0,0,0,0,1,0,1,"59,337"
Colorado,Cities,Centennial,2,0,0,0,0,0,1,0,1,0,"111,416"
Colorado,Cities,Colorado Springs,0,1,0,0,0,0,0,0,1,0,"472,958"
Colorado,Cities,Delta,0,0,0,1,1,0,0,0,0,1,"8,925"
Colorado,Cities,Denver,9,2,6,0,0,0,4,7,1,5,"706,616"
Colorado,Cities,Durango,0,1,0,0,0,0,0,0,1,0,"18,801"
Colorado,Cities,Englewood,2,0,0,0,0,0,0,1,1,0,"34,709"
Colorado,Cities,Fruita,0,0,1,0,0,0,1,0,0,0,"12,971"
Colorado,Cities,Golden,1,0,0,0,0,0,0,0,0,1,"20,948"
Colorado,Cities,Grand Junction,0,1,1,0,0,0,1,1,0,0,"62,352"
Colorado,Cities,Greeley,3,0,0,0,0,0,1,0,1,1,"105,906"
Colorado,Cities,Idaho Springs,1,0,0,0,0,0,0,0,0,1,"1,751"
Colorado,Cities,Lafayette,0,1,0,0,0,0,0,0,1,0,"28,939"
Colorado,Cities,Lakewood,3,0,1,0,0,0,3,1,0,0,"156,344"
Colorado,Cities,Littleton,0,3,0,0,0,0,1,2,0,0,"47,112"
Colorado,Cities,Longmont,1,0,0,0,0,1,0,0,1,0,"93,979"
Colorado,Cities,Loveland,1,0,1,0,0,0,0,1,1,0,"78,671"
Colorado,Cities,Monument,1,0,0,0,0,0,1,0,0,0,"6,644"
Colorado,Cities,Northglenn,0,1,0,0,0,0,0,1,0,0,"39,520"
Colorado,Cities,Pueblo,2,0,0,0,0,0,0,0,1,1,"110,872"
Colorado,Cities,Steamboat Springs,0,1,0,0,0,0,1,0,0,0,"12,799"
Colorado,Cities,Trinidad,1,0,0,0,0,0,0,0,0,1,"7,961"
Colorado,Cities,Windsor,1,0,0,0,0,0,0,0,0,1,"23,523"
Colorado,Universities and Colleges,Total,3,1,0,0,0,0,,,,,
Colorado,Universities and Colleges,"Colorado State University, Fort Collins",3,0,0,0,0,0,0,0,0,3,"31,856"
Colorado,Universities and Colleges,"University of Colorado, Boulder",0,1,0,0,0,0,1,0,0,0,"33,977"
Colorado,Metropolitan Counties,Total,9,8,3,0,0,0,,,,,
Colorado,Metropolitan Counties,Adams,1,0,0,0,0,0,0,0,0,1,
Colorado,Metropolitan Counties,Arapahoe,3,3,0,0,0,0,2,2,1,1,
Colorado,Metropolitan Counties,Boulder,0,3,0,0,0,0,3,0,0,0,
Colorado,Metropolitan Counties,Douglas,1,0,0,0,0,0,1,0,0,0,
Colorado,Metropolitan Counties,El Paso,2,0,1,0,0,0,1,0,1,1,
Colorado,Metropolitan Counties,Jefferson,1,1,1,0,0,0,1,0,1,1,
Colorado,Metropolitan Counties,Larimer,0,1,0,0,0,0,0,1,0,0,
Colorado,Metropolitan Counties,Mesa,1,0,1,0,0,0,0,0,0,2,
Colorado,Nonmetropolitan Counties,Total,0,1,2,0,0,0,,,,,
Colorado,Nonmetropolitan Counties,Garfield,0,0,1,0,0,0,0,0,0,1,
Colorado,Nonmetropolitan Counties,Huerfano,0,1,0,0,0,0,0,1,0,0,
Colorado,Nonmetropolitan Counties,Routt,0,0,1,0,0,0,0,0,1,0,
Connecticut,Total,Total,66,23,22,0,0,1,,,,,
Connecticut,Cities,Total,60,23,19,0,0,1,,,,,
Connecticut,Cities,Avon,1,0,0,0,0,0,1,0,0,0,"18,397"
Connecticut,Cities,Berlin,1,2,0,0,0,0,1,1,0,1,"20,601"
Connecticut,Cities,Bethel,3,0,0,0,0,0,0,0,0,3,"19,796"
Connecticut,Cities,Bloomfield,0,0,2,0,0,0,0,2,0,0,"20,667"
Connecticut,Cities,Bridgeport,5,0,2,0,0,0,1,1,1,3,"146,110"
Connecticut,Cities,Brookfield,1,0,0,0,0,0,1,0,0,0,"17,203"
Connecticut,Cities,Cheshire,0,0,2,0,0,0,1,0,0,1,"29,282"
Connecticut,Cities,Clinton,1,0,0,0,0,0,0,0,1,0,"12,915"
Connecticut,Cities,Danbury,4,0,1,0,0,0,2,2,1,0,"85,614"
Connecticut,Cities,Darien,1,0,0,0,0,0,0,1,0,0,"21,910"
Connecticut,Cities,East Haven,1,0,0,0,0,0,0,1,0,0,"28,739"
Connecticut,Cities,East Windsor,1,0,0,0,0,0,0,1,0,0,"11,383"
Connecticut,Cities,Enfield,1,0,0,0,0,0,1,0,0,0,"44,321"
Connecticut,Cities,Groton,1,0,0,0,0,0,0,1,0,0,"9,093"
Connecticut,Cities,Groton Town,1,0,0,0,0,0,1,0,0,0,"29,524"
