,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Cleveland,12,0,0,0,0,0,1,1,5,5,"385,351"
Cleveland,7,0,0,0,0,0,0,3,0,4,"44,778"
Cleveland Metropolitan Park District,2,0,0,0,0,0,0,0,2,0,
Clinton,1,0,0,0,0,0,0,0,1,0,"12,915"
Clinton,1,0,0,0,0,0,0,1,0,0,"25,532"
Clinton County ,6,0,0,0,0,0,0,2,2,2,
Clio,1,0,0,0,0,0,1,0,0,0,"2,495"
Cobb County Police Department,9,2,1,0,0,0,1,5,3,3,
Cobleskill,1,0,0,0,0,0,0,0,1,0,"2,287"
Coeur d'Alene,2,0,0,0,0,0,0,1,1,0,"51,364"
Coffee,1,0,0,0,0,0,1,0,0,0,
Coffeyville,1,1,0,0,0,0,1,0,0,1,"9,423"
Colchester,1,0,0,0,0,0,0,0,1,0,"17,353"
Cold Spring,1,0,0,0,0,0,0,0,0,1,"6,276"
Colerain Township,3,1,0,0,0,0,1,3,0,0,"58,996"
College of the Holy Cross,0,0,1,0,0,0,0,0,0,1,"2,720"
College Park,4,1,0,0,0,0,0,1,2,2,"39,083"
Colleton,2,0,0,0,0,0,0,1,0,1,
Collier,0,1,0,0,0,0,0,0,0,1,
Collierville,4,0,0,0,0,0,0,0,4,0,"49,790"
Collingswood,1,0,0,0,0,0,0,0,0,1,"14,080"
Collinsville,1,0,0,0,0,1,0,1,1,0,"6,836"
Colma,0,0,1,0,0,0,0,1,0,0,"1,520"
Colorado Springs,0,1,0,0,0,0,0,0,1,0,"472,958"
"Colorado State University, Fort Collins",3,0,0,0,0,0,0,0,0,3,"31,856"
Colts Neck Township,2,0,0,0,0,0,2,0,0,0,"9,936"
Columbia,1,0,0,0,0,0,1,0,0,0,"122,585"
Columbia,1,0,0,0,0,0,0,0,1,0,
Columbia,0,1,0,0,0,0,0,1,0,0,
